trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
car1_Standard_toRI_240730,24:07:30,24:08:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_240730,24:15:00,24:15:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_242230,24:22:30,24:23:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_242230,24:30:00,24:30:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_243730,24:37:30,24:38:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_243730,24:45:00,24:45:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_245230,24:52:30,24:53:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_245230,25:00:00,25:00:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_250730,25:07:30,25:08:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_250730,25:15:00,25:15:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_252230,25:22:30,25:23:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_252230,25:30:00,25:30:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_253730,25:37:30,25:38:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_253730,25:45:00,25:45:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_255230,25:52:30,25:53:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_255230,26:00:00,26:00:30,1,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toM_260000,26:00:00,26:00:30,1,1,Manhattan,0,0,,,0,1
car1_Fri-Sat_Extension_toM_260000,26:07:30,26:08:00,2,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toM_261500,26:15:00,26:15:30,1,1,Manhattan,0,0,,,0,1
car1_Fri-Sat_Extension_toM_261500,26:22:30,26:23:00,2,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toM_263000,26:30:00,26:30:30,1,1,Manhattan,0,0,,,0,1
car1_Fri-Sat_Extension_toM_263000,26:37:30,26:38:00,2,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toM_264500,26:45:00,26:45:30,1,1,Manhattan,0,0,,,0,1
car1_Fri-Sat_Extension_toM_264500,26:52:30,26:53:00,2,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toM_270000,27:00:00,27:00:30,1,1,Manhattan,0,0,,,0,1
car1_Fri-Sat_Extension_toM_270000,27:07:30,27:08:00,2,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toM_271500,27:15:00,27:15:30,1,1,Manhattan,0,0,,,0,1
car1_Fri-Sat_Extension_toM_271500,27:22:30,27:23:00,2,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toRI_260730,26:07:30,26:08:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Fri-Sat_Extension_toRI_260730,26:15:00,26:15:30,1,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toRI_262230,26:22:30,26:23:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Fri-Sat_Extension_toRI_262230,26:30:00,26:30:30,1,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toRI_263730,26:37:30,26:38:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Fri-Sat_Extension_toRI_263730,26:45:00,26:45:30,1,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toRI_265230,26:52:30,26:53:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Fri-Sat_Extension_toRI_265230,27:00:00,27:00:30,1,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toRI_270730,27:07:30,27:08:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Fri-Sat_Extension_toRI_270730,27:15:00,27:15:30,1,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toRI_272230,27:22:30,27:23:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Fri-Sat_Extension_toRI_272230,27:30:00,27:30:30,1,2,,0,0,,,0.956,1
